"site_id","monitoring_id","date_time","net_type","species","scientific_name","native/nonnative","amount"
2,"2_0","45693.62638883102","Fyke","Dragonfly larvae Small",NA,NA,2
3,"3_0","45693.534722222219","Fyke","Dragonfly larvae Small",NA,NA,1
4,"4_0","45693.513888888891","Fyke","Dragonfly larvae Small",NA,NA,11
4,"4_0","45695.477083333331","Box","Dragonfly larvae Small",NA,NA,1
7,"7_0","45693.083333333336","Box","Dragonfly larvae Small",NA,NA,4
7,"7_0","45693.083333333336","Fyke","Dragonfly larvae Small",NA,NA,2
7,"7_0","45694.493055555555","Fyke","Dragonfly larvae Small",NA,NA,3
8,"8_0","45693.572916666664","Box","Dragonfly larvae Small",NA,NA,5
8,"8_0","45693.572916666664","Fyke","Dragonfly larvae Small",NA,NA,2
8,"8_0","45694.513888888891","Box","Dragonfly larvae Small",NA,NA,4
9,"9_0","45693.380555555559","Box","Dragonfly larvae Small",NA,NA,1
9,"9_0","45693.380555555559","Fyke","Dragonfly larvae Small",NA,NA,4
10,"10_0","45693.40902777778","Fyke","Dragonfly larvae Small",NA,NA,11
12,"12_0","45695.59375","Box","Caddisfly larvae",NA,NA,1
14,"14_0","45695.489583333336","Box","Dragonfly larvae Small",NA,NA,1
15,"15_0","45695.395833333336","Box","Dragonfly larvae Small",NA,NA,1
16,"16_0","45695.4375","Box","Dragonfly larvae Small",NA,NA,3
20,"20_0","45695.638888888891","Fyke","Dragonfly larvae Small",NA,NA,4
3,"3_1","45806.55","Box","Dragonfly larvae Small",NA,NA,1
18,"18_1","45778.583333333336","Fyke","Dragonfly larvae Small",NA,NA,1
11,"11_2","45870.583333333336","Box","Dragonfly larvae Small",NA,NA,1
3,"3_3","45952.452777777777","Box","Dragonfly larvae Small",NA,NA,1
4,"4_3","45952.452777777777","Fyke","Diving beatle",NA,NA,1
6,"6_3","45952.40625","Box","Dragonfly larvae Small",NA,NA,1
1,"1_4","46035.541666666664","Fyke","Dragonfly larvae Small",NA,NA,1
2,"2_4","46035.541666666664","Box","Dragonfly larvae Small",NA,NA,1
2,"2_4","46035.541666666664","Fyke","Dragonfly larvae Small",NA,NA,1
3,"3_4","46035.479166666664","Box","Dragonfly larvae Small",NA,NA,2
3,"3_4","46035.479166666664","Fyke","Dragonfly larvae Small",NA,NA,3
4,"4_4","46035.479166666664","Box","Dragonfly larvae Small",NA,NA,1
4,"4_4","46035.479166666664","Box","Caddisfly larvae",NA,NA,1
4,"4_4","46035.479166666664","Fyke","Dragonfly larvae Small",NA,NA,1
8,"8_4","46042.4375","Box","Dragonfly larvae Small",NA,NA,2
8,"8_4","46042.4375","Fyke","Dragonfly larvae Small",NA,NA,7
10,"10_4","46035.375","Fyke","Dragonfly larvae Small",NA,NA,1
16,"16_4","46037.4375","Box","Caddisfly larvae",NA,NA,1
2,"2_5","23/4/26 14:30","Fyke","Dragonfly larvae Small",NA,NA,1
8,"8_5","23/4/26 12:30","Box","Dragonfly larvae Small",NA,NA,2
