"Variable","Stone_pile","Control","Reference","p_vs_Control","p_vs_Reference"
"Kōura CPUE","0.2 ± 0.27","0.15 ± 0.22","2.13 ± 2.32",1,0.205
"Catfish CPUE","0.05 ± 0.11","0.1 ± 0.22","0.3 ± 0.52",1,0.42
"Kōura BPUE","7.95 ± 12.15","2.8 ± 3.84","36.69 ± 36.82",0.789,0.206
"Catfish BPUE","0.15 ± 0.34","24.6 ± 55.01","97.28 ± 232.15",1,0.343
"Substrate index (before)","3.39 ± 1.07","3.68 ± 0.95","5.29 ± 1.05",0.789,0.012
"Substrate index (after)","3.65 ± 1.12","3.68 ± 0.95","5.29 ± 1.05",1,0.032
"Slope (0–20 m)","0.06 ± 0.05","0.06 ± 0.04","0.09 ± 0.05",0.59,0.245
"Temperature (°C)","24.74 ± 1.92","24.78 ± 1.47","24.48 ± 0.78",1,0.623
"Dissolved oxygen (mg/L)","9.85 ± 1.48","9.63 ± 1.29","10.03 ± 0.86",0.418,0.426
"Specific conductivity (µS/cm)","195.44 ± 70.05","199.8 ± 78.52","165.45 ± 8.5",0.281,0.951
"pH","7.5 ± 2.15","7.61 ± 2.2","8.53 ± 0.66",1,0.426
